datetime,portfolio_value,cash,positions,return
2020-09-04 09:30:00-04:00,116839.7119140625,116839.7119140625,"[{'asset': USD, 'quantity': 116839.7119140625}]",0.0
2020-09-05 09:30:00-04:00,116839.7119140625,116839.7119140625,"[{'asset': USD, 'quantity': 116839.7119140625}]",0.0
2020-09-08 09:30:00-04:00,116839.7119140625,116839.7119140625,"[{'asset': USD, 'quantity': 116839.7119140625}]",0.0
2020-09-09 09:30:00-04:00,116839.7119140625,116839.7119140625,"[{'asset': USD, 'quantity': 116839.7119140625}]",0.0
2020-09-10 09:30:00-04:00,117682.50952148438,22421.610717773438,"[{'asset': USD, 'quantity': 22421.610717773438}, {'asset': GC=F, 'quantity': 49.0}]",0.00721328043021674
2020-09-11 09:30:00-04:00,117682.50952148438,117682.50952148438,"[{'asset': USD, 'quantity': 117682.50952148438}]",0.0
2020-09-12 09:30:00-04:00,117682.50952148438,117682.50952148438,"[{'asset': USD, 'quantity': 117682.50952148438}]",0.0
2020-09-14 09:30:00-04:00,117682.50952148438,117682.50952148438,"[{'asset': USD, 'quantity': 117682.50952148438}]",0.0
2020-09-15 09:30:00-04:00,117682.50952148438,117682.50952148438,"[{'asset': USD, 'quantity': 117682.50952148438}]",0.0
2020-09-16 09:30:00-04:00,117682.50952148438,117682.50952148438,"[{'asset': USD, 'quantity': 117682.50952148438}]",0.0
2020-09-17 09:30:00-04:00,118752.91186523438,211824.91186523438,"[{'asset': USD, 'quantity': 211824.91186523438}, {'asset': GC=F, 'quantity': -48.0}]",0.009095679112405275
2020-09-18 09:30:00-04:00,118752.91186523438,118752.91186523438,"[{'asset': USD, 'quantity': 118752.91186523438}]",0.0
2020-09-19 09:30:00-04:00,118752.91186523438,214327.41186523438,"[{'asset': USD, 'quantity': 214327.41186523438}, {'asset': GC=F, 'quantity': -49.0}]",0.0
2020-09-21 09:30:00-04:00,118752.91186523438,118752.91186523438,"[{'asset': USD, 'quantity': 118752.91186523438}]",0.0
2020-09-22 09:30:00-04:00,120374.81066894531,214116.70947265625,"[{'asset': USD, 'quantity': 214116.70947265625}, {'asset': GC=F, 'quantity': -49.0}]",0.013657760287609122
2020-09-23 09:30:00-04:00,123758.80847167969,292553.8084716797,"[{'asset': USD, 'quantity': 292553.8084716797}, {'asset': GC=F, 'quantity': -90.0}]",0.02811217549526246
2020-09-24 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-09-25 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-09-26 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
